,trialid,registry,registration_date,enrollment_date,sponsors,recruitment_status,phase,study_type,countries,title,intervention_type,intervention,data_source,results_link,last_refreshed_on,first_seen
0,chictr2000029949,chictr,2020-02-16,2020-02-16,zhongnan hospital of wuhan university,not recruiting,not applicable,observational,china,a medical records based study for the effectiveness of extracorporeal membrane oxygenation in patients with severe novel coronavirus pneumonia (covid-19),drug,oxygen,http://www.chictr.org.cn/showproj.aspx?proj=49181,no results,2020-02-17,2020-08-03
1,chictr2000029953,chictr,2020-02-17,2020-02-01,zhongnan hospital of wuhan university,not recruiting,not applicable,observational,china,construction and analysis of prognostic predictive model of novel coronavirus pneumonia (covid-19),prognosis,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49217,no results,2020-02-17,2020-08-03
2,chictr2000029935,chictr,2020-02-16,2020-02-06,"hwa mei hospital,university of chinese academy of sciences",recruiting,not applicable,interventional,china,a single-arm clinical trial for chloroquine phosphate in the treatment of novel coronavirus pneumonia 2019 (covid-19),drug,chloroquine,http://www.chictr.org.cn/showproj.aspx?proj=49607,no results,2020-02-17,2020-08-03
3,chictr2000029947,chictr,2020-02-16,2020-03-01,longhua hospital affiliated to shanghai university of traditional chinese medicine,not recruiting,not applicable,interventional,china,a randomized controlled trial for qingyi no. 4 compound in the treatment of convalescence patients of novel coronavirus pneumonia (covid-19),traditional medicine (drug),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49599,no results,2020-02-17,2020-03-18
4,chictr2000029896,chictr,2020-02-16,2020-01-31,affiliated hospital of changchun university of traditional chinese medicine,recruiting,not applicable,observational,china,evaluate the effectiveness of traditional chinese medicine in the treatment of novel coronavirus pneumonia (covid-19),traditional medicine (unspecified),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49432,no results,2020-02-17,2020-03-18
5,chictr2000029811,chictr,2020-02-14,2020-02-20,"guangzhou reborn health management consultation co.,ltd",not recruiting,not applicable,interventional,no country given,clinical study for anti-aging active freeze-dried powder granules in the treatment of acute novel coronavirus pneumonia (covid-19),traditional medicine (drug),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49355,no results,2020-02-17,2020-08-03
6,chictr2000029810,chictr,2020-02-14,2020-02-16,shenzhen second people's hospital,recruiting,not applicable,diagnostic test,china,clinical study of a novel high sensitivity nucleic acid assay for novel coronavirus pneumonia (covid-19) based on crispr-cas protein,diagnosis,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49407,no results,2020-02-17,2020-08-03
7,chictr2000029850,chictr,2020-02-15,2020-02-15,the first affiliated hospital of zhejiang university school of medicine,recruiting,not applicable,interventional,china,study on convalescent plasma treatment for severe patients with novel coronavirus pneumonia (covid-19),atmp,plasma,http://www.chictr.org.cn/showproj.aspx?proj=49533,no results,2020-02-17,2020-08-03
8,chictr2000029814,chictr,2020-02-14,2020-02-14,children's hospital of fudan university,recruiting,not applicable,interventional,china,clinical trial for integrated chinese and western medicine in the treatment of children with novel coronavirus pneumonia (covid-19),traditional medicine + western medicine,traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49387,no results,2020-02-17,2020-08-03
9,chictr2000029779,chictr,2020-02-13,2020-02-14,wuxi people's hospital,recruiting,not applicable,diagnostic test,china,study for the key issues of the diagnosis and treatment of novel coronavirus pneumonia (covid-19) based on the medical imaging,diagnosis,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49378,no results,2020-02-17,2020-08-03
10,chictr2000029778,chictr,2020-02-13,2020-02-14,shanghai university of traditional chinese medicine,recruiting,not applicable,interventional,china,clinical study for traditional chinese medicine combined with western medicine in treatment of novel coronavirus pneumonia (covid-19),traditional medicine + western medicine,traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49422,no results,2020-02-17,2020-08-03
11,chictr2000029805,chictr,2020-02-14,2020-02-12,wuhan jinyintan hospital (wuhan infectious diseases hospital),recruiting,not applicable,observational,china,analysis of clinical characteristics of severe novel coronavirus pneumonia (covid-19),clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49188,no results,2020-02-17,2020-08-03
12,chictr2000029789,chictr,2020-02-13,2020-02-15,the first affiliated hospital of he'nan university of chinese medicine,recruiting,not applicable,interventional,china,randomized controlled trial for tcm syndrome differentiation treatment impacting quality of life of post-discharge patients with novel coronavirus pneumonia (covid-19),traditional medicine (other),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49348,no results,2020-02-17,2020-08-03
13,chictr2000029777,chictr,2020-02-13,2020-02-05,huangshi hospital of traditional chinese medicine,recruiting,not applicable,interventional,china,"a multicenter,randomized,controlled trial for integrated chinese and western medicine in the treatment of novel coronavirus pneumonia (covid-19) based on the 'truncated torsion' strategy",traditional medicine + western medicine,traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49380,no results,2020-02-17,2020-08-03
14,chictr2000029776,chictr,2020-02-13,2020-02-11,the first affiliated of wenzhou medical university,recruiting,phase 4,interventional,china,"a randomized,open-label,blank-controlled,multicenter trial for polyinosinic-polycytidylic acid injection in the treatment of novel coronavirus pneumonia (covid-19)",drug,polyinosinic-polycytidylic acid,http://www.chictr.org.cn/showproj.aspx?proj=49342,no results,2020-02-17,2020-08-03
15,nct04245631,clinicaltrials.gov,2020-01-26,2020-01-01,beijing ditan hospital,recruiting,not applicable,observational,china,"development of a simple,fast and portable recombinase aided amplification assay for 2019-ncov",diagnosis,no intervention,https://clinicaltrials.gov/show/nct04245631,no results,2020-02-17,2020-08-03
16,nct04252885,clinicaltrials.gov,2020-01-30,2020-01-28,guangzhou 8th people's hospital,recruiting,phase 4,interventional,china,the efficacy of lopinavir plus ritonavir and arbidol against novel coronavirus infection,drug,combination: lopinavir/ritonavir + umifenovir,https://clinicaltrials.gov/show/nct04252885,no results,2020-02-17,2020-03-18
17,nct04255940,clinicaltrials.gov,2020-02-03,2020-01-20,qilu hospital of shandong university,recruiting,phase 4,observational,china,2019-ncov outbreak and cardiovascular diseases,clinical presentation,no intervention,https://clinicaltrials.gov/show/nct04255940,no results,2020-02-17,2020-08-03
18,nct04260308,clinicaltrials.gov,2020-02-03,2020-02-03,huazhong university of science and technology,recruiting,not applicable,observational,china,a survey of psychological status of medical workers and residents in the context of 2019 novel coronavirus pneumonia,other (psych),no intervention,https://clinicaltrials.gov/show/nct04260308,no results,2020-02-17,2020-03-18
19,chictr2000029782,chictr,2020-02-13,2020-01-30,zhejiang provincial people's hospital,not recruiting,not applicable,observational,china,clinical study for the changes in mental state of medical staff in the department of radiotherapy in a comprehensive tertiary hospital in zhejiang province during the epidemic of novel coronavirus infection (covid-19),clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49445,no results,2020-02-17,2020-08-03
20,chictr2000029764,chictr,2020-02-13,2020-02-16,west china hospital of sichuan university,not recruiting,not applicable,observational,china,imaging features and mechanisms of novel coronavirus pneumonia (covid-19): a multicenter study,clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49388,no results,2020-02-17,2020-08-03
21,chictr2000029742,chictr,2020-02-11,2020-02-10,"tongji hospital,tongji medical college,huazhong university of science and technology",recruiting,phase 4,interventional,china,"a randomized,parallel controlled trial for the efficacy and safety of sodium aescinate injection in the treatment of patients with pneumonia (covid-19)",traditional medicine (drug),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49297,no results,2020-02-17,2020-08-03
