index,trialid,source_register,date_registration,date_enrollement,normed_spon_names,recruitment_status,phase,study_type,countries,public_title,intervention_type,intervention,web_address,results_url_link,last_refreshed_on,first_seen
0,ChiCTR2000029949,ChiCTR,2020-02-16,2020-02-16,Zhongnan Hospital of Wuhan University,Not Recruiting,Not Applicable,Observational,China,A Medical Records Based Study for the Effectiveness of Extracorporeal Membrane Oxygenation in Patients with Severe Novel Coronavirus Pneumonia (COVID-19),Drug,Oxygen,http://www.chictr.org.cn/showproj.aspx?proj=49181,No Results,2020-02-17,2020-08-03
1,ChiCTR2000029953,ChiCTR,2020-02-17,2020-02-01,Zhongnan Hospital of Wuhan University,Not Recruiting,Not Applicable,Observational,China,Construction and Analysis of Prognostic Predictive Model of Novel Coronavirus Pneumonia (COVID-19),Prognosis,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=49217,No Results,2020-02-17,2020-08-03
2,ChiCTR2000029935,ChiCTR,2020-02-16,2020-02-06,"Hwa Mei Hospital, University of Chinese Academy of Sciences",Recruiting,Not Applicable,Interventional,China,A Single-arm Clinical Trial for Chloroquine Phosphate in the treatment of Novel Coronavirus Pneumonia 2019 (COVID-19),Drug,Chloroquine,http://www.chictr.org.cn/showproj.aspx?proj=49607,No Results,2020-02-17,2020-08-03
3,ChiCTR2000029947,ChiCTR,2020-02-16,2020-03-01,Longhua Hospital Affiliated to Shanghai University of Traditional Chinese Medicine,Not Recruiting,Not Applicable,Interventional,China,A Randomized Controlled Trial for Qingyi No. 4 Compound in the treatment of Convalescence Patients of Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine (Drug),Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=49599,No Results,2020-02-17,2020-03-18
4,ChiCTR2000029896,ChiCTR,2020-02-16,2020-01-31,Affiliated Hospital of Changchun University of Traditional Chinese Medicine,Recruiting,Not Applicable,Observational,China,Evaluate the effectiveness of Traditional Chinese medicine in the treatment of novel coronavirus pneumonia (COVID-19),Traditional Medicine (Unspecified),Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=49432,No Results,2020-02-17,2020-03-18
5,ChiCTR2000029811,ChiCTR,2020-02-14,2020-02-20,"Guangzhou reborn health management consultation co., LTD",Not Recruiting,Not Applicable,Interventional,No Country Given,Clinical Study for Anti-aging Active Freeze-dried Powder Granules in the Treatment of Acute Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine (Drug),Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=49355,No Results,2020-02-17,2020-08-03
6,ChiCTR2000029810,ChiCTR,2020-02-14,2020-02-16,Shenzhen Second People's Hospital,Recruiting,Not Applicable,Diagnostic test,China,Clinical study of a novel high sensitivity nucleic acid assay for novel coronavirus pneumonia (COVID-19) based on CRISPR-cas protein,Diagnosis,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=49407,No Results,2020-02-17,2020-08-03
7,ChiCTR2000029850,ChiCTR,2020-02-15,2020-02-15,The First Affiliated Hospital of Zhejiang University School of Medicine,Recruiting,Not Applicable,Interventional,China,Study on convalescent plasma treatment for severe patients with novel coronavirus pneumonia (COVID-19),ATMP,Plasma,http://www.chictr.org.cn/showproj.aspx?proj=49533,No Results,2020-02-17,2020-08-03
8,ChiCTR2000029814,ChiCTR,2020-02-14,2020-02-14,Children's Hospital of Fudan University,Recruiting,Not Applicable,Interventional,China,Clinical Trial for Integrated Chinese and Western Medicine in the Treatment of Children with Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine + Western Medicine,Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=49387,No Results,2020-02-17,2020-08-03
9,ChiCTR2000029779,ChiCTR,2020-02-13,2020-02-14,Wuxi People's Hospital,Recruiting,Not Applicable,Diagnostic test,China,Study for the key issues of the diagnosis and treatment of novel coronavirus pneumonia (COVID-19) based on the medical imaging,Diagnosis,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=49378,No Results,2020-02-17,2020-08-03
10,ChiCTR2000029778,ChiCTR,2020-02-13,2020-02-14,Shanghai University of Traditional Chinese Medicine,Recruiting,Not Applicable,Interventional,China,Clinical Study for Traditional Chinese Medicine Combined With Western Medicine in Treatment of Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine + Western Medicine,Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=49422,No Results,2020-02-17,2020-08-03
11,ChiCTR2000029805,ChiCTR,2020-02-14,2020-02-12,Wuhan Jinyintan Hospital (Wuhan Infectious Diseases Hospital),Recruiting,Not Applicable,Observational,China,Analysis of clinical characteristics of severe novel coronavirus pneumonia (COVID-19),Clinical Presentation,No Intervention,http://www.chictr.org.cn/showproj.aspx?proj=49188,No Results,2020-02-17,2020-08-03
12,ChiCTR2000029789,ChiCTR,2020-02-13,2020-02-15,The First Affiliated Hospital of He'nan University of Chinese Medicine,Recruiting,Not Applicable,Interventional,China,Randomized controlled trial for TCM syndrome differentiation treatment impacting quality of life of post-discharge patients with novel coronavirus pneumonia (COVID-19),Traditional Medicine (Other),Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=49348,No Results,2020-02-17,2020-08-03
13,ChiCTR2000029777,ChiCTR,2020-02-13,2020-02-05,Huangshi Hospital of Traditional Chinese Medicine,Recruiting,Not Applicable,Interventional,China,"A multicenter, randomized, controlled trial for integrated chinese and western medicine in the treatment of novel coronavirus pneumonia (COVID-19) based on the 'Truncated Torsion' strategy",Traditional Medicine + Western Medicine,Traditional Medicine,http://www.chictr.org.cn/showproj.aspx?proj=49380,No Results,2020-02-17,2020-08-03
14,ChiCTR2000029776,ChiCTR,2020-02-13,2020-02-11,The First Affiliated of Wenzhou Medical University,Recruiting,Phase 4,Interventional,China,"A randomized, open-label, blank-controlled, multicenter trial for Polyinosinic-Polycytidylic Acid Injection in the treatment of novel coronavirus pneumonia (COVID-19)",Drug,Polyinosinic-polycytidylic acid,http://www.chictr.org.cn/showproj.aspx?proj=49342,No Results,2020-02-17,2020-08-03
15,NCT04245631,ClinicalTrials.gov,2020-01-26,2020-01-01,Beijing Ditan Hospital,Recruiting,Not Applicable,Observational,China,"Development of a Simple, Fast and Portable Recombinase Aided Amplification Assay for 2019-nCoV",Diagnosis,No Intervention,https://clinicaltrials.gov/show/NCT04245631,No Results,2020-02-17,2020-08-03
16,NCT04252885,ClinicalTrials.gov,2020-01-30,2020-01-28,Guangzhou 8th People's Hospital,Recruiting,Phase 4,Interventional,China,The Efficacy of Lopinavir Plus Ritonavir and Arbidol Against Novel Coronavirus Infection,Drug,Combination: lopinavir/ritonavir + umifenovir,https://clinicaltrials.gov/show/NCT04252885,No Results,2020-02-17,2020-03-18
17,NCT04255940,ClinicalTrials.gov,2020-02-03,2020-01-20,Qilu Hospital of Shandong University,Recruiting,Phase 4,Observational,China,2019-nCoV Outbreak and Cardiovascular Diseases,Clinical Presentation,No Intervention,https://clinicaltrials.gov/show/NCT04255940,No Results,2020-02-17,2020-08-03
18,NCT04260308,ClinicalTrials.gov,2020-02-03,2020-02-03,Huazhong University of Science and Technology,Recruiting,Not Applicable,Observational,China,A Survey of Psychological Status of Medical Workers and Residents in the Context of 2019 Novel Coronavirus Pneumonia,Other (psych),No Intervention,https://clinicaltrials.gov/show/NCT04260308,No Results,2020-02-17,2020-03-18
