,,,COVID-19 Interventions,,SOP for Data Entry (Version 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Product,,Product Information,,,,,,,,,,,Milestones,,Pre-Clinical Development Milestones,,,Manufacturing Milestones,Regulatory Milestones,Clinical Development Milestones,,,Regulatory Milestones,ON THE MARKET,,Highest Status Ongoing Clinical Study (see clinical study tab for more studies),,,,,,,,,,,,,,,,
ID,Source?,Product Name - Preferred,Product Name - Chemical,Product Name - Brand,Sponsor,Intervention Type,Indication,Molecule Type,Therapeutic Approach,New/Repurposed,Funding/Manufacturing/Research/Other Partners,Country,Status,Notes,,Current Status,,Discovery Started,Pre-Clinical Studies Started,Lead Selection Finalized,Clinical Batch Finalized,IND or Equivalent Approval Finalized,Phase 1 Started,Phase 2 Started,Phase 3 Started,NDA or equivalent Approval Finalized,,,Phase,Condition or Disease,Number of Participants,Accepts Healthy Subjects,# of Sites,Sites Locations,Study Start Date,Primary Completion DAte,Study Completion Date,CTG Identifier,How to participate,,Data Entry Owner,Date Entry Performed,Data Entry Update Owner,Date Update Performed,
1,No,mRNA-1273,mRNA-1273,,Moderna; National Institute of Allergy and Infectious Diseases,Vaccine - Prophylactic,COVID-19,Nucleic acid based therapies/vaccines,Unknown,New,CEPI,United States,Ongoing,mRNA-based vaccine,,Phase 1,,1/11/2020,SKIPPED,1/13/2020,2/7/2020,3/4/2020,3/16/2020,,,,,,1,COVID-19,45,,2,Kaiser Permanente Washington Health Research Institute - Seattle - Washington; Emory Children's Center - Decatur - Georgia,3/16/2020,6/1/2021,6/1/2021,NCT04283461,https://corona.kpwashingtonresearch.org/,,Mats,3/27/2020,,,
1,Yes,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-investigational-vaccine-covid-19-begins,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-investigational-vaccine-covid-19-begins,,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-investigational-vaccine-covid-19-begins,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-investigational-vaccine-covid-19-begins,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-investigational-vaccine-covid-19-begins,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-investigational-vaccine-covid-19-begins,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-investigational-vaccine-covid-19-begins,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-investigational-vaccine-covid-19-begins,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-investigational-vaccine-covid-19-begins,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-investigational-vaccine-covid-19-begins,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-investigational-vaccine-covid-19-begins,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-investigational-vaccine-covid-19-begins,,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-investigational-vaccine-covid-19-begins,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-investigational-vaccine-covid-19-begins,https://www.modernatx.com/modernas-work-potential-vaccine-against-covid-19,https://www.modernatx.com/modernas-work-potential-vaccine-against-covid-19,https://www.modernatx.com/modernas-work-potential-vaccine-against-covid-19,https://www.modernatx.com/modernas-work-potential-vaccine-against-covid-19,https://www.modernatx.com/modernas-work-potential-vaccine-against-covid-19,https://www.modernatx.com/modernas-work-potential-vaccine-against-covid-19,,,,,,https://clinicaltrials.gov/ct2/show/NCT04283461?term=coronavirus+vaccine&draw=2,,https://clinicaltrials.gov/ct2/show/NCT04283461?term=coronavirus+vaccine&draw=1,https://clinicaltrials.gov/ct2/show/NCT04283461?term=coronavirus+vaccine&draw=2,https://clinicaltrials.gov/ct2/show/NCT04283461?term=coronavirus+vaccine&draw=3,https://clinicaltrials.gov/ct2/show/NCT04283461?term=coronavirus+vaccine&draw=4,https://clinicaltrials.gov/ct2/show/NCT04283461?term=coronavirus+vaccine&draw=5,https://clinicaltrials.gov/ct2/show/NCT04283461?term=coronavirus+vaccine&draw=6,https://clinicaltrials.gov/ct2/show/NCT04283461?term=coronavirus+vaccine&draw=7,,https://corona.kpwashingtonresearch.org/,,,,,,
2,No,Novavax Vaccine,Novavax Vaccine,,Novavax Inc.; Emergent BioSolutions Inc.,Vaccine - Prophylactic,COVID-19,Subunit Vaccines,Other,New,CEPI,United States,Ongoing,not totally clear that it is prophylactic vaccine. P1 expected late spring,,Pre-Clinical Testing,,,03/10/2020,,,,,,,,,,,,,,,,,,,,,,James,4/2/2020,,,
2,Yes,https://investors.emergentbiosolutions.com/news-releases/news-release-details/emergent-biosolutions-signs-agreement-novavax-manufacture?field_nir_news_date_value[min]=,https://investors.emergentbiosolutions.com/news-releases/news-release-details/emergent-biosolutions-signs-agreement-novavax-manufacture?field_nir_news_date_value[min]=,,https://investors.emergentbiosolutions.com/news-releases/news-release-details/emergent-biosolutions-signs-agreement-novavax-manufacture?field_nir_news_date_value[min]=,https://investors.emergentbiosolutions.com/news-releases/news-release-details/emergent-biosolutions-signs-agreement-novavax-manufacture?field_nir_news_date_value[min]=,https://ir.novavax.com/news-releases/news-release-details/novavax-awarded-funding-cepi-covid-19-vaccine-development,https://ir.novavax.com/news-releases/news-release-details/novavax-awarded-funding-cepi-covid-19-vaccine-development,,https://ir.novavax.com/news-releases/news-release-details/novavax-awarded-funding-cepi-covid-19-vaccine-development,https://ir.novavax.com/news-releases/news-release-details/novavax-awarded-funding-cepi-covid-19-vaccine-development,https://ir.novavax.com/news-releases/news-release-details/novavax-awarded-funding-cepi-covid-19-vaccine-development,,,,https://ir.novavax.com/news-releases/news-release-details/novavax-awarded-funding-cepi-covid-19-vaccine-development,,,https://ir.novavax.com/news-releases/news-release-details/novavax-awarded-funding-cepi-covid-19-vaccine-development,,,,,,,,,,,,,,,,,,,,,,,,,,
3,No,BNT162,BNT162,,Pfizer Inc.; BioNTech SE,Vaccine - Prophylactic,COVID-19,Nucleic acid based therapies/vaccines,Other,New,Polymun,Germany,Ongoing,Expect clinical testing in late april. Note this drug is also being developed in china with fosun pharma. Assumed this is in discovery as no explicit statements aboit preclinical found,,Pre-Clinical Testing,,,03/16/2020,,,,,,,,,,,,,,,,,,,,,,James,4/2/2020,,,
3,Yes,BNT162,BNT162,,https://www.pfizer.com/news/press-release/press-release-detail/pfizer_and_biontech_to_co_develop_potential_covid_19_vaccine,https://www.pfizer.com/news/press-release/press-release-detail/pfizer_and_biontech_to_co_develop_potential_covid_19_vaccine,https://www.pfizer.com/news/press-release/press-release-detail/pfizer_and_biontech_to_co_develop_potential_covid_19_vaccine,https://www.pfizer.com/news/press-release/press-release-detail/pfizer_and_biontech_to_co_develop_potential_covid_19_vaccine,https://www.pfizer.com/news/press-release/press-release-detail/pfizer_and_biontech_to_co_develop_potential_covid_19_vaccine,https://www.pfizer.com/news/press-release/press-release-detail/pfizer_and_biontech_to_co_develop_potential_covid_19_vaccine,https://biontech.de/,https://biontech.de/,https://www.pfizer.com/news/press-release/press-release-detail/pfizer_and_biontech_to_co_develop_potential_covid_19_vaccine,https://www.fiercebiotech.com/biotech/weeks-to-go-to-covid-19-vaccine-trial-biontech-lands-135m-deal-and-advances-pfizer-talks,,https://biontech.de/node/159,,,https://biontech.de/node/159,,,,,,,,,,,,,,,,,,,,,,,,,,
4,No,Imperial College London Vaccine,Imperial College London Vaccine,,Imperial College London,Vaccine - Prophylactic,COVID-19,Nucleic acid based therapies/vaccines,Other,New,,United Kingdon,Ongoing,Expect clinical testing in summer,,Pre-Clinical Testing,,,02/10/2020,,,,,,,,,,,,,,,,,,,,,,James,4/2/2020,,,
4,Yes,,,,https://www.imperial.ac.uk/news/196313/in-pictures-imperial-developing-covid19-vaccine/,https://www.imperial.ac.uk/news/196313/in-pictures-imperial-developing-covid19-vaccine/,https://www.imperial.ac.uk/news/196313/in-pictures-imperial-developing-covid19-vaccine/,https://www.imperial.ac.uk/news/196313/in-pictures-imperial-developing-covid19-vaccine/,Other,https://www.imperial.ac.uk/news/196313/in-pictures-imperial-developing-covid19-vaccine/,,,,https://www.imperial.ac.uk/news/196313/in-pictures-imperial-developing-covid19-vaccine/,,https://www.imperial.ac.uk/news/196313/in-pictures-imperial-developing-covid19-vaccine/,,,https://www.imperial.ac.uk/news/196313/in-pictures-imperial-developing-covid19-vaccine/,,,,,,,,,,,,,,,,,,,,,,,,,,
5,No,INO-4800,INO-4800,CELLECTRA®,Inovio Pharmaceuticals Inc.; Beijing Advaccine Biotechnology.; US Department of Defense.; Ology Bioservices Inc.,Vaccine - Prophylactic,COVID-19,Nucleic acid based therapies/vaccines,Monoclonal antibodies,New,"US DoD, Bill and Melinda Gates Foundation, Coalition for Epidemic Prepardness Innovations Funding",United States,Ongoing,,,Pre-Clinical Testing,,1/23/2020,,,03/24/2020,,04/01/2020,,,,,,1,COVID-19,,,,United States,,,,,,,Joseph Malinao,04/02/2020,,,
5,Yes,INO-4800,INO-4800,,https://www.precisionvaccinations.com/vaccines/ino-4800-dna-coronavirus-vaccine,,COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,No,Ad26 SARS-CoV-2,,Ad26 SARS-CoV-2,Janssen,Vaccine - Prophylactic,COVID-19,Gene therapies,Other,New,BARDA,Belgium,Ongoing,Expect clinical testing no later than fall 2020,,Pre-Clinical Testing,,,03/31/2020,,,,,,,,,,,,,,,,,,,,,,James,4/2/2020,,,
6,Yes,https://www.hhs.gov/about/news/2020/03/30/hhs-accelerates-clinical-trials-prepares-manufacturing-covid-19-vaccines.html,https://www.hhs.gov/about/news/2020/03/30/hhs-accelerates-clinical-trials-prepares-manufacturing-covid-19-vaccines.html,,https://milkeninstitute.org/sites/default/files/2020-03/Covid19%20Tracker%20NEW3-30-20.pdf,https://www.hhs.gov/about/news/2020/03/30/hhs-accelerates-clinical-trials-prepares-manufacturing-covid-19-vaccines.html,COVID-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5609467/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5609467/,https://www.hhs.gov/about/news/2020/03/30/hhs-accelerates-clinical-trials-prepares-manufacturing-covid-19-vaccines.html,https://www.hhs.gov/about/news/2020/03/30/hhs-accelerates-clinical-trials-prepares-manufacturing-covid-19-vaccines.html,,https://www.hhs.gov/about/news/2020/03/30/hhs-accelerates-clinical-trials-prepares-manufacturing-covid-19-vaccines.html,https://www.hhs.gov/about/news/2020/03/30/hhs-accelerates-clinical-trials-prepares-manufacturing-covid-19-vaccines.html,,https://www.sciencemag.org/news/2020/03/1-billion-bet-pharma-giant-and-us-government-team-all-out-coronavirus-vaccine-push,,,https://www.sciencemag.org/news/2020/03/1-billion-bet-pharma-giant-and-us-government-team-all-out-coronavirus-vaccine-push,,,,,,,,,,,,,,,,,,,,,,,,,,
7,No,Sanofi Vaccine,Sanofi Vaccine,,Sanofi; BARDA,Vaccine - Prophylactic,COVID-19,Subunit Vaccines,Other,Repurposed-Not Approved,BARDA,France,Ongoing,they are repurposing vaccines that have been preclinically tested for SARS - hence I have put the current status as preclinical,,Pre-Clinical Testing,,,02/18/2020,,,,,,,,,,,,,,,,,,,,,,James,4/2/2020,,,
7,Yes,,,,http://www.news.sanofi.us/2020-02-18-Sanofi-joins-forces-with-U-S-Department-of-Health-and-Human-Services-to-advance-a-novel-coronavirus-vaccine,,COVID-19,http://www.news.sanofi.us/2020-02-18-Sanofi-joins-forces-with-U-S-Department-of-Health-and-Human-Services-to-advance-a-novel-coronavirus-vaccine,http://www.news.sanofi.us/2020-02-18-Sanofi-joins-forces-with-U-S-Department-of-Health-and-Human-Services-to-advance-a-novel-coronavirus-vaccine,http://www.news.sanofi.us/2020-02-18-Sanofi-joins-forces-with-U-S-Department-of-Health-and-Human-Services-to-advance-a-novel-coronavirus-vaccine,http://www.news.sanofi.us/2020-02-18-Sanofi-joins-forces-with-U-S-Department-of-Health-and-Human-Services-to-advance-a-novel-coronavirus-vaccine,https://www.google.com/search?q=sanofi+pasteur+headquarters&rlz=1C5CHFA_enGB854GB854&oq=sanofi+pastuer+head&aqs=chrome.1.69i57j0l7.7080j1j9&sourceid=chrome&ie=UTF-8,https://www.sanofi.com/en/media-room/press-releases/2020/2020-02-18-16-00-00,https://www.sanofi.com/en/media-room/press-releases/2020/2020-02-18-16-00-00,,,,,https://www.sanofi.com/en/media-room/press-releases/2020/2020-02-18-16-00-00,,,,,,,,,,,,,,,,,,,,,,,,,,
