,,,COVID-19 Interventions,,SOP for Data Entry (Version 3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Product,,Product Information,,,,,,,,,,,Milestones,,Pre-Clinical Development Milestones,,,Manufacturing Milestones,Regulatory Milestones,Clinical Development Milestones,,,Regulatory Milestones,ON THE MARKET,,Highest Status Ongoing Clinical Study (see clinical study tab for more studies),,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Source?,Product Name - Preferred,Product Name - Chemical,Product Name - Brand,Sponsor,Intervention Type,Indication,Molecule Type,Therapeutic Approach,New/Repurposed,Funding/Manufacturing/Research/Other Partners,Country,Status,Notes,,Current Stage,,Discovery Started,Pre-Clinical Studies Started,Lead Selection Finalized,Clinical Batch Finalized,IND or Equivalent Approval Finalized,Phase 1 Started,Phase 2 Started,Phase 3 Started,NDA or equivalent Approval Finalized,,,Phase,Condition or Disease,Number of Participants,Accepts Healthy Subjects,# of Sites,Sites Locations,Study Start Date,Primary Completion DAte,Study Completion Date,CTG Identifier,How to participate,,Data Entry 1 Owner,Date Entry 1 Performed,Data Entry 2 Owner,Date Entry 2 Performed,Data Entry Update Owner,Date Update Performed,,,,,,,,,,
1,No,mRNA-1273,mRNA-1273,,Moderna; National Institute of Allergy and Infectious Diseases,Vaccine - Prophylactic,COVID-19,Nucleic acid based therapies/vaccines,Unknown,New,CEPI,United States,Ongoing,mRNA-based vaccine,,Phase 1,,1/11/2020,SKIPPED,1/13/2020,2/7/2020,3/4/2020,3/16/2020,,,,,,1,COVID-19,45,,2,Kaiser Permanente Washington Health Research Institute - Seattle - Washington; Emory Children's Center - Decatur - Georgia,3/16/2020,6/1/2021,6/1/2021,NCT04283461,https://corona.kpwashingtonresearch.org/,,Mats,3/27/2020,,,,,,,,25,26,12,,,,
1,Yes,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-investigational-vaccine-covid-19-begins,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-investigational-vaccine-covid-19-begins,,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-investigational-vaccine-covid-19-begins,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-investigational-vaccine-covid-19-begins,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-investigational-vaccine-covid-19-begins,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-investigational-vaccine-covid-19-begins,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-investigational-vaccine-covid-19-begins,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-investigational-vaccine-covid-19-begins,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-investigational-vaccine-covid-19-begins,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-investigational-vaccine-covid-19-begins,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-investigational-vaccine-covid-19-begins,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-investigational-vaccine-covid-19-begins,,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-investigational-vaccine-covid-19-begins,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-investigational-vaccine-covid-19-begins,https://www.modernatx.com/modernas-work-potential-vaccine-against-covid-19,https://www.modernatx.com/modernas-work-potential-vaccine-against-covid-19,https://www.modernatx.com/modernas-work-potential-vaccine-against-covid-19,https://www.modernatx.com/modernas-work-potential-vaccine-against-covid-19,https://www.modernatx.com/modernas-work-potential-vaccine-against-covid-19,https://www.modernatx.com/modernas-work-potential-vaccine-against-covid-19,,,,,,https://clinicaltrials.gov/ct2/show/NCT04283461?term=coronavirus+vaccine&draw=2,,https://clinicaltrials.gov/ct2/show/NCT04283461?term=coronavirus+vaccine&draw=1,https://clinicaltrials.gov/ct2/show/NCT04283461?term=coronavirus+vaccine&draw=2,https://clinicaltrials.gov/ct2/show/NCT04283461?term=coronavirus+vaccine&draw=3,https://clinicaltrials.gov/ct2/show/NCT04283461?term=coronavirus+vaccine&draw=4,https://clinicaltrials.gov/ct2/show/NCT04283461?term=coronavirus+vaccine&draw=5,https://clinicaltrials.gov/ct2/show/NCT04283461?term=coronavirus+vaccine&draw=6,https://clinicaltrials.gov/ct2/show/NCT04283461?term=coronavirus+vaccine&draw=7,,https://corona.kpwashingtonresearch.org/,,,,,,,,,,,,,,,,,
2,No,Novavax Vaccine,Novavax Vaccine,,Novavax Inc.; Emergent BioSolutions Inc.,Vaccine - Prophylactic,COVID-19,Subunit Vaccines,Other,New,CEPI,United States,Ongoing,not totally clear that it is prophylactic vaccine. P1 expected late spring,,Pre-Clinical Testing,,,03/10/2020,,,,,,,,,,,,,,,,,,,,,,James,4/2/2020,,,,,,,,,,,,,,
2,Yes,https://investors.emergentbiosolutions.com/news-releases/news-release-details/emergent-biosolutions-signs-agreement-novavax-manufacture?field_nir_news_date_value[min]=,https://investors.emergentbiosolutions.com/news-releases/news-release-details/emergent-biosolutions-signs-agreement-novavax-manufacture?field_nir_news_date_value[min]=,,https://investors.emergentbiosolutions.com/news-releases/news-release-details/emergent-biosolutions-signs-agreement-novavax-manufacture?field_nir_news_date_value[min]=,https://investors.emergentbiosolutions.com/news-releases/news-release-details/emergent-biosolutions-signs-agreement-novavax-manufacture?field_nir_news_date_value[min]=,https://ir.novavax.com/news-releases/news-release-details/novavax-awarded-funding-cepi-covid-19-vaccine-development,https://ir.novavax.com/news-releases/news-release-details/novavax-awarded-funding-cepi-covid-19-vaccine-development,,https://ir.novavax.com/news-releases/news-release-details/novavax-awarded-funding-cepi-covid-19-vaccine-development,https://ir.novavax.com/news-releases/news-release-details/novavax-awarded-funding-cepi-covid-19-vaccine-development,https://ir.novavax.com/news-releases/news-release-details/novavax-awarded-funding-cepi-covid-19-vaccine-development,,,,https://ir.novavax.com/news-releases/news-release-details/novavax-awarded-funding-cepi-covid-19-vaccine-development,,,https://ir.novavax.com/news-releases/news-release-details/novavax-awarded-funding-cepi-covid-19-vaccine-development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,No,BNT162,BNT-162,,Pfizer Inc.; BioNTech SE,Vaccine - Prophylactic,COVID-19,Nucleic acid based therapies/vaccines,Other,New,Polymun,Germany,Ongoing,Expect clinical testing in late april. Note this drug is also being developed in china with fosun pharma. Assumed this is in discovery as no explicit statements aboit preclinical found,,Pre-Clinical Testing,,,03/16/2020,,,,,,,,,,,,,,,,,,,,,,James,4/2/2020,,,,,,,,,,,,,,
3,Yes,BNT162,BNT162,,https://www.pfizer.com/news/press-release/press-release-detail/pfizer_and_biontech_to_co_develop_potential_covid_19_vaccine,https://www.pfizer.com/news/press-release/press-release-detail/pfizer_and_biontech_to_co_develop_potential_covid_19_vaccine,https://www.pfizer.com/news/press-release/press-release-detail/pfizer_and_biontech_to_co_develop_potential_covid_19_vaccine,https://www.pfizer.com/news/press-release/press-release-detail/pfizer_and_biontech_to_co_develop_potential_covid_19_vaccine,https://www.pfizer.com/news/press-release/press-release-detail/pfizer_and_biontech_to_co_develop_potential_covid_19_vaccine,https://www.pfizer.com/news/press-release/press-release-detail/pfizer_and_biontech_to_co_develop_potential_covid_19_vaccine,https://biontech.de/,https://biontech.de/,https://www.pfizer.com/news/press-release/press-release-detail/pfizer_and_biontech_to_co_develop_potential_covid_19_vaccine,https://www.fiercebiotech.com/biotech/weeks-to-go-to-covid-19-vaccine-trial-biontech-lands-135m-deal-and-advances-pfizer-talks,,https://biontech.de/node/159,,,https://biontech.de/node/159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,No,Imperial College London Vaccine,Imperial College London Vaccine,,Imperial College London,Vaccine - Prophylactic,COVID-19,Nucleic acid based therapies/vaccines,Other,New,,United Kingdon,Ongoing,Expect clinical testing in summer,,Pre-Clinical Testing,,,02/10/2020,,,,,,,,,,,,,,,,,,,,,,James,4/2/2020,,,,,,,,,,,,,,
